,Name,Vorname,Fraktion/Gruppe,17-198-01,17-201-02,17-201-03,17-201-04,17-201-05,17-201-01,17-205-01,17-205-02,17-207-01,17-207-02,17-208-01,17-209-01,17-211-01,17-211-02,17-212-01,17-213-01,17-213-02,17-213-03,17-213-04,17-213-05,17-214-01,17-214-02,17-214-03,17-214-04,17-214-05,17-214-06,17-215-01,17-217-01,17-219-01,17-225-03,17-225-01,17-225-02,17-225-04,17-225-05,17-226-02,17-226-03,17-226-01,17-229-01,17-234-03,17-234-04,17-234-05,17-234-01,17-234-02,17-237-01,17-237-02,17-240-03,17-240-02,17-240-01,17-242-01,17-243-01,17-244-01,17-246-01,17-246-02,17-247-01,17-250-01,17-250-02,17-250-03,17-250-04,17-250-05,17-250-06,17-250-07,17-250-08,17-250-09,17-251-01
566,Haßelmann,Britta,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
567,Herlitzius,Bettina,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Abwesend
568,Hinz (Herborn),Priska,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
569,Hofreiter,Anton,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Enthaltung,Enthaltung,Enthaltung,Enthaltung,Enthaltung,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
570,Höhn,Bärbel,BÜNDNIS`90/DIE GRÜNEN,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
571,Hönlinger,Ingrid,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Enthaltung,Enthaltung,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
572,Hoppe,Thilo,BÜNDNIS`90/DIE GRÜNEN,Abwesend,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Nein,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
573,Kekeritz,Uwe,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
574,Keul,Katja,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
575,Kilic,Memet,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Enthaltung,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
